Title,Director,Cast,Genre,Music Director
100 Days,Parto Ghosh,"Jackie Shroff, Madhuri Dixit",Thriller,Ramlaxman
Aadhi Mimansa,Apurba Kishore Bir,"Mohan Gokhale, Neena Gupta, Ashok Kumar",,
Aadmi Aur Apsara,"J. Om Prakash, K. Raghavendra Rao","Chiranjeevi, Amrish Puri, Sridevi",,
Aag Laga Do Sawan Ko,Anup Malik,Harish Patel,,
Aaj Ka Samson,Kuku Kapoor,"Hemant Birje, Sahila Chaddha, Goga Kapoor","Action, Romance",
Aakhri Cheekh,Kiran Ramsay,"Vijay Arora, Anil Dhawan, Vijayendra Ghatge",Horror,
Afsana Pyaar Ka,Shahjahan,"Aamir Khan, Neelam",Romance,Bappi Lahiri
Ajooba,Shashi Kapoor,"Amitabh Bachchan, Rishi Kapoor, Dimple Kapadia, Sonam","Fantasy, Adventure",Laxmikant Pyarelal
Akayla,Ramesh Sippy,"Amitabh Bachchan, Jackie Shroff, Amrita Singh",Drama,Laxmikant Pyarelal
Antarnaad,Shyam Benegal,"Girish Karnad, Kulbhushan Kharbanda, Shabana Azmi",Drama,
Ayee Milan Ki Raat,K. Pappu,"Rita Bhaduri, Aruna Irani, Kulbhushan Kharbanda",Romance,Anand-Milind
Baarish,Narendra Grewal,"Rahul Roy, Sheeba",,Anand-Milind
Baat Hai Pyaar Ki,,Archana Joglekar,,
Badnaam Rishte,Keyan,"Pratap Chandra, Uma Maheshwari, Nalinikanth","Action, Drama, Thriller",
Banjaran,Harmesh Malhotra,"Rishi Kapoor, Sridevi",,Laxmikant Pyarelal
Begunaah,,"Rajesh Khanna, Ashok Kumar, Farha Naaz","Action, Crime, Drama",
Benaam Badsha,K. Ravi Shankar,"Anil Kapoor, Juhi Chawla, Rohini Hattangadi",Romance,Laxmikant Pyarelal
Bhabhi,Kishore Vyas,"Bhanupriya, Govinda, Juhi Chawla","Comedy, Drama, Family",Anu Malik
Bhediyon Ka Samooh,M.K. Shankar,"P.L. Ahuja, Praful Ambekar, Brahmachari","Action, Crime, Drama",
Dancer,Kishore Vyas,"Akshay Kumar, Krithi Singh, Mohnish Behl",Romance,Anand Milind
Deshwasi,Rajiv Goswami,"Manoj Kumar, Poonam Dhillon, Mandakini, Hema Malini","Action, Drama, Romance",
Maut Ki Sazaa,Devendra Khandelwal,"Ashok Kumar, Anita Raj, Alok Nath",Crime,
Dharam Sankat,N.D. Kothari,"Vinod Khanna, Amrita Singh, Sahila Chaddha","Action, Drama, Family",
Diksha,Arun Kaul,"Sulabha Arya, Vijay Kashyap, Nana Patekar",Drama,
