Title,Director,Cast,Genre,Notes
Aadmi,V. Shantaram,"Shanta Hublikar, Shahu Modak, Ram Marathe, Baba Saheb, Ganpat Rao, Gauri",Social,Music: Master Krishnarao
Aap Ki Marzi,Sarvottam Badami,"Motilal, Khursheed, Sabita Devi, Mazhar Khan, Vasanti, K. N. Singh, Sunalini Devi",Social,"Music: Gyan Dutt
Lyrics: Pyare Lal Santoshi, S. P. Kalla"
Actress Kyon Bani,G. R. Sethi,"Usha Rani, Ashiq Hussain, Padma Devi, Rafiqe Ghaznavi, W. M. Khan, Abdul, Mukhtar",Social,Music: Ram Gopal Pande
Adhuri Kahani,Chaturbhuj Doshi,"Rose, Prithviraj Kapoor, Durga Khote, Keshavrao Date, Ishwarlal, Mira, Mirza Musharraf, Lala Yaqub",Social,"Music: Gyan Dutt
Lyrics: J. S. Kashyap"
Alladin Ka Beta,Nanubhai Vakil,"Sarojini, Ganpat, Shankar, Bose, Ali, Razaq, Mirajkar","Action, Adventure, Fantasy",Music: Damodar Sharma
Badi Didi,Amar Mullick,"Molina, Pahari Sanyal, Bikram Kapoor, Nawab, Renuka Devi, Menaka Devi, Kidar Sharma, G. K. Rampuri, Bela, Jagdish Sethi, Zainab, Gulab",Social,"Music: Pankaj Mullick
Lyrics: Kidar Sharma"
Baghi,Dhirubhai Desai,"Mehtab, Shamim, Anil Kumar, Ashraf Khan, Samson, Amirbai Karnataki, Anwaribai, Shiraj",Costume,"Vishnu Cine. Music: Shanti Kumar Desai
Lyrics: G. S. Akhtar
Poster link
"
Bahadur Ramesh,K. Amarnath,"Yasmin, Nazir, Rajkumari, Jeevan, Sadiq Nawab, S. Nazir, Devaskar, Ghulam Rasool, Haroon",Action,"Mohan Pictures. Music: B. R. Batish
Lyrics: Ehsan Rizvi"
Bhedi Kumar,Chunilal Parekh,"Urmila, Yashwant Dave, Indurani, Mishra, Vasantrao Pehalwan, Sadiq Nawab, Ghulam Qadir",Action,"Mohan Pics. Music: B. R. Btish
Lyrics: B. P. Mathur"
Bhole Bhale,Zia Sarhadi,"Prem Adib, Maya, Arun Kumar, Bibbo, Jyoti, Kayam Ali, Bhudo Advani, Kanhaiyalal, Putlibai",Social,"Music: Anupam Ghatak
Lyrics:Zia Sarhadi, Kanhaiyalal"
Bijli,Balwant Bhatt,"P. Jairaj, Pramila, Shyam Sunder, Munshi Khanjar, Athavale",Action,"Prakash Prod. Music: Shankar Rao Vyas, Lallubhai Nayak
Lyrics: Pandit Anuj"
Brandy Ki Botal,Master Vinayak,"Meenakshi, Master Vinayak, Damuanna Malvankar, Salvi, V. Jog, Javdekar",Social,"Music: Chandekar
Lyrics: Pandit Indra Chandra"
Chashmawali,K. Amarnath,"Ashiq Hussain, Indurani, S. Nazir, Indira, Lobo, Varne, Azar Ansari, Sadiq, S. Nazir, Anwaribai",Action,"Mohan Pics. Music: B. R. Batish
Lyrics: Safdar Aah Sitapuri"
Chhotisi Duniya,B. S. Rajhans,"Leela Chitnis, P. Jairaj, Rajhans, Ram Punjwani, Gulshan Sufi",Social,"Ray Pictures. Music: Ram T. Heera
Lyrics:"
Comrades,Nandlal Jaswantal,"Surendra, Harish, Jyoti, Maya",Social,
Criminal,Bhagwan,"Bhagwan, Hansa Wadkar, Vasantrao Pehalwan, Masood, Chandrarao, Sunetra",Action,"Chandra Art. Music: A. Hussain
Lyrics:"
Daughters Of India,V. M. Vyas,"Khursheed, Ashiq Hussain, Radha Devi, Vimla Devi, Abdul, Mukhtar, Jahangir",Social,"Super Pictures. Music: Ram Gopal Pande
Lyrics: Munshi Aziz"
Dekha Jayega,O. P. Khanna,"Amarnath, Lillian, Kamran, Nasreen",Action,"Marvel Production. Music: Sardul Kwatra
Lyrics: Farook Qaiser"
Dil Hi To Hai,Kidar Sharma,"Ramola, Amarnath, Prem Kumari, Gyani, S K Ojha, Gyani, Nand Kishore, Rajinder Singh, Ram Dulari",Social,"Film Corporation of India. Music: B. Chatterjee
Lyrics: Kidar Sharma"
