Title,Director,Cast,Genre,Notes
12 O'Clock,Pramod Chakravorty,"Guru Dutt, Waheeda Rehman, Shashikala, Johnny Walker","Suspense, Romance","Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri, Sahir Ludhianvi"
Aakhri Dao,Mahesh Kaul,"Shekhar, Nutan, Johnny Walker, Shubha Khote, Minu Mumtaz, Shammi",Social,Music: Madan Mohan Lyrics: Majrooh Sultanpuri
Adalat,Kalidas,"Nargis, Pradeep Kumar, Pran, Yakub, Achala Sachdev, Murad","Social, Drama",Music: Madan Mohan Lyrics: Rajendra Krishan
Aji Bas Shukriya,Mohammed Husain,"Geeta Bali, Suresh, Johnny Walker, Shubha Khote, Tun Tun, Shammi, Mukri, Agha","Family, Drama","Music: Roshan Lyrics: Shailendra, Prem Dhawan, Usha Khanna, Faruk Kaiser"
Alladin Ka Chirag,T. R. Raghunath,"Nageswara Rao, Anjali Devi, Rajasulochana",Fantasy,Music: S. Rajeswara Rao Lyrics: Pal Premi
Al Hilal,Akkoo,"Mahipal, Shakila, Hiralal, Sheikh, Ruby Myers","Action, Drama, Costume",Music: Bulo C Rani Lyrics: Shewan Rizvi
Amar Deep,T. Prakash Rao,"Dev Anand, Vyjayanthimala, Pran, Padmini, Ragini, Johnny Walker, Om Prakash, David","Social, Drama",Music: C. Ramchandra Lyrics: Rajendra Krishan
Baghi Sipahi,Bhagwandas Verma,"Madhubala, Ranjan, Nishi, Om Prakash, Chandrashekhar, Purnima, Gope, Sapru","Action, Costume","Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Balyogi Upmanyu,Harsukh Bhatt,"Vinod Kumar, Lalita Pawar, Sulochana, Jeevan, Madan Puri, Kanhaiyalal",Devotional,Music: Chitragupta Lyrics: Bharat Vyas
Bhala Aadmi,Bhagwan,"Bhagwan, Chandrashekhar, Anita Guha, Kumkum, Ulhas, Kumar",Social,Music: Nisar Bazmi Lyrics: Anand Bakshi
