Title,Director,Cast,Genre,"Notes
Cinematographer"
A Friend In Need a.k.a. Geeta Rahasya,K. P. Bhave,"Ermeline, E. Billimoria, J. P. Gidwani",,"Imperial Film Company
DOP: A. P. Karandikar"
Amrit Ki Zaher a.k.a. Wine And Woman,Anand Prasad Kapoor,"Zebunisa, Mani, Balahai, Padval",,"Sharda Film Company.
DOP: Naval Bhat"
Anarkali a.k.a. The Loves of a Moghul Prince,"Charu Roy, Prafulla Roy","Seeta Devi, Diwan Sharar, Maya Devi, Shakuntala Tembe, Sawan Singh, Rajkumari, Imtiz Ali Taj","Legend, Romance","Great Eastern Film Corp., Delhi
DOP: Vishnu B. Joshi"
Ankh Ka Nasha,,"Patience Cooper, Master Mohan, Sharifa, Mohammed Ishaq, Manilal, Sooraj Ram",Social,Madan Theatres Ltd. Story by Agha Hashar Kashmiri
Balaji Nimbalkar,Dadasaheb Phalke,,Historical,"Hindustan Cinema Film Company, Nasik"
Bhai Ke Kasai a.k.a. His Father's Honour,"Ramakant, Gharekhan","Shanta Kumari, R. N. Vaidya, Jani Babu",Social,"Shree Jagdish Film Co.
DOP: G. G. Gogate"
Bishabriksha a.k.a. The Poison Tree,Jyotish Bannerji,"Durgadas Bannerjee, Leelavati, Ahindra Chowdhury, Jaynarayan Mukherjee, Manoranjan Bhattacharya, Tarakbala, Kartik Dey",Social,"Madan Theatres Ltd.
DOP: Jatin Das"
Bhakta Damaji a.k.a. Devout Damaji,Dadasaheb Phalke,"Bhauro Datar, Gotiram",Devotional,"Hindustan Cinema Film Company, Nasik"
Bhasmasur,Tarapada Saha,Deben Mullick,Mythology,"Prativa Cinema Co., Calcutta
DOP: Tarapada Saha"
Bhranti a.k.a. Mistake,Jyotish Bannerji,"Patience Cooper, Durgadas Bannerjee, Seeta Devi, Satyen, Naresh Mitra, Sailen Chowdhury, Manorama, Tarasundari, Chittaranjan Goswami, Sashimukhi, Danibabu",Social,Madan Theatres Ltd.
Brother To Brother a.k.a. Tarunina Tarang,Prafulla Ghosh,"Gulab, Durga, Haridas, Takle, Keshavlal",Social,"Krishna Film Company
DOP: Gordhanbhai Patel"
Celestial Lotus a.k.a. Pandav Patrani,"Nagendra Majumdar, M. Bhavani","D. Billimoria, Sulochana (Ruby Myers), Jilloobai, Wagle, Putli",Fantasy,"Imperial Film Company
DOP: Adi Irani"
Chamakti Chanda,M. Udwadia,"Zubeida, Jagtap Jr., Yvonne Wallace,",Costume,"Jagtap Film Co.
DOP: V. B. Jagtap"
Chandrahasa,Kanjibhai Rathod,"Haider Shah, Durga Korgaonkar, P. R. Joshi, Kusum, Sakina, Keshavlal, Athavle, Sultan, Alam, Gangaram, Nizam",Devotional,"Krishna Film Company
DOP: Chaturbhai Patel"
Chandravali a.k.a. The Crown of Virtue,Fatma Begum,"Fatma Begum, Shahzadi, Jani Babu, Yakub, Sultana",Costume,"Victoria Fatma Film Co.
DOP: V. V. Date"
Chatur Kanta a.k.a. Chatur Kanya,"R. R. Gharekhan, Ramakant","Kumudini, Athavle, Roy",Social,"Excelsior Film Co.
DOP: Ambadas Pawar"
Daughters Of Today a.k.a. Prem Pariksha,G. K. Mehta,"Miss Maya, Hiralal, Thomas, Miss Belle Love, Vijay Kumar, E. Ismail",Social,"Lahore-Premier Film Co.
DOP: G. K. Mehta"
Destiny Defied a.k.a. Lekh Par Mekh,Homi Master,"Panna, Heera, Noor Mohammed Charlie, Thomas, Gani Babu",Social,"Kohinoor Film Company
DOP: K. G. Gokhale"
Detective Kumar,K. B. Athavale,"Rampyari, Athavale, Malini, Salvi",Social,"Excelsior Film Company
DOP: D. D. Dabke"
Dev Kanya a.k.a. Daughter of God,Kanjibhai Rathod,"Gulab, Nandram, Lila, P. R. Joshi, Vishnu",Devotional,"Krishna Film Company
DOP: Chaturbhai Patel"
Devdas,Naresh Mitra,"Tinkari Chakraborty, Naresh Mitra, Niharbala, Moni Ghosh, Phani Burma, Miss Light, Rama Devi, Kanaknarayan Bhup",Social,"Eastern Film Syndicate, Calcutta
DOP: Nitin Bose"
Draupadi Vastra Haran a.k.a. The Royal Gambler,Parshwanath Yeshwant Altekar,"Durgabai Koregaonkar, Gangoobai",Mythology,United Pictures Syndicate
Dreamland a.k.a. Swarga Vihar,Maneklal Patel,"Gulab, Rampyari, Gangaram, Vishnu",Fantasy,"Krishna Film Company
DOP: Chaturbhai Patel"
Emperor Ashok a.k.a. Samrat Ashok,Bhagwati Mishra,"Zubeida, Madanrai Vakil, Udwadia, Putli, Jilloobai, Asooji, Dwarki",Historical,"Royal Art Studio, Lokmanya Film Co."
Enticement a.k.a. Mayana Rang,"Haribhai Desai, Sundarrao Nadkarni","Zebunisa, Gangoobai, Jairam Desai, Master Bachu, Baburo Gade",Costume,"Suvarna Pictures
DOP: Pawar"
Ex-Husband a.k.a. Soneri Jaal,Gordhandas Patel,"Gulab, Nandram",Costume,Gujrat Studios
Fall Of Pavagadh a.k.a. Pavagadh Nu Patan a.k.a. Goddess Mahakali,Nagendra Majumdar,"Navinchandra, Iris Crawford, K. B. Athavale, Zaverbhai Kaiser",Historical,Producer: I. K. Yagnik
Fatal Garland a.k.a. Haiyan No Haar,Bhagwati Mishra,"Ermeline, Jamshedji Khansaheb, Madarai Vakil, Putli",Social,Imperial Film Company
Fatal Kiss a.k.a. Ekaj Chumban,K. B. Athavale,"Yakbal, Athavale",Social,"Excelsior Film Company
DOP: D. D. Dabke"
Father O'mine a.k.a. Pita Ke Parmeshwar,Rama Chowdhury,"Elizer, Jamshedji Khansaheb, Putli, Jilloobai, Yusuf",Social,Imperial Film Companybr>DOP: Rustom Irani
Foolish Husbands a.k.a. Bharmayalo Bharthar,Narayan Deware,"Behram Vasania, Fatma Begum, Faram, Jumna",Social,"Kohinoor Film Company.
DOP: Narayan Deware"
Forsaken Love a.k.a. Prem Nirasha,Pesi Karani,"Heera, Jumna, Behram Vasania, R. N. Vaidya",Social,"Kohinoor Film Company
DOP:"
Ganimi Kawa a.k.a Guerrilla Tactics,N. D. Sarpotdar,"Lalita Pawar, Amboo, Durgabai Koregaonkar, Suryakant, Khanderao Kondke",Historical,"Aryan Film Co.
DOP: Bhal G. Pendharkar"
Ghor Pratignya a.k.a. Sarojani,Homi Master,"Heera, Panna, Jani Babu, Thomas, Usha",Costume,"Kohinoor Film Company
DOP: K. G. Gokhale"
Ghoshayatra,G. V. Sane,Bhaurao Datar,,"Hindustan Cinema Film Co., Nasik
DOP: Shinde"
Golden Gang a.k.a. Soneri Toli,K. P. Bhave,"Zubeida, Udwadia, Jagtap",Social,Jagtap Film Co.
Grihalaxmi a.k.a. The Daughter-In-Law,Chandulal Shah,"Gohar, Raja Sandow, Vaidya",Social,"Shree Jagdish Film Co.
DOP: G. G. Gogate, Pandurang S. Naik"
Gul Badan,Harshadrai Mehta,"Zebunissa, Master Vithal",Costume,"Sharda Movietone
DOP: Naval Bhat"
Gul Sanobar,Homi Master,"Hira, Yakbal, Khalil, Gani Babu",Fantasy,"Kohinoor Film Company
DOP: K. G. Gokhale"
Gulru Zarina a.k.a. Flower-Like Zarina,A. P. Kapoor,"Janibabu, Lobo",Fantasy,"Sharda Film Company
DOP: Naval Bhat"
Harishchandra a.k.a Raja Harishchandra,N. D. Sarpotdar,"Bhaurao Datar, Lalita Pawar, Durgabai Koregaokar, H. Dhodke, Shantaram Sagun, Dattoba Rajwade, P. N. Varne, Jhadhavrao",Mythology,"Aryan Film Co.
DOP: Y. D. Sarpotdar"
Heer Ranjah,Fatma Begum,"Zubeida, Jani Babu, Shahzadi, Fatma Begum","Legend, Romance",Victoria Fatma Film Co.
Hira Sundari,A. P. Kapoor,"Master Vithal, Jani Babu, Nirasha",Social,"Sharda Film Company
DOP: Naval Bhat"
Hoor-E-Arab a.k.a Aladdin And The Magic Lamp,Ratansha Sinore,"Patience Cooper, Bapuji Punegar, Farida",Fantasy,"Imperial Film Company
DOP: Adi Irani"
Hoor-E-Baghdad a.k.a. Fairy Of Baghdad a.k.a. Forbidden Love,Bhagwati Mishra,"Ermeline, Mazhar Khan, W. M. Khan",Fantasy,"Saraswati Film Company, Imperial Film Company
DOP: Rustom Irani"
Ideal Wife a.k.a Arya Mahila,N. D. Sarpotdar,"Lalita Pawar, Baburao Athavale, Durgabai Koregaonkar, S. Bhopatkar, P. N. Varne, Jadhavrao",Social,"Aryan Film Co.
DOP: Y. D. Sarpotdar"
Indulal Advocate a.k.a Bodku Mathu,Kanjibhai Rathod,Jehangir,Social,Gujarat Studio
Jagadguru Shrimad Shankaracharya a.k.a. World Teacher Shankaracharya,P. Y. Altekar,"Keshav Narayan Kale, Ermeline, Jilloobai, P. Y. Altekar, Baburao Sansare, Putli, Gohar, Nazir, Rustom, Sakhu",Devotional,"Imperial Film Company
DOP: A. P. Karandikar"
Jai Bhavani,K. P. Bhave,"Bhonsle, Jagtap, Dabir, Dwarkee",Historical,"Jagtap Pictures
DOP: M. R. Jagtap"
Kamla Kumari a.k.a. Sabur Shah,Bhagwati Mishra,"Madanrai Vakil, Ermeline, Gohar, Yakub",Legend,"Imperial Film Company
DOP: Rustom Irani"
Kamsena Lilavati,,"Yakbal, K. B. Athavale, Mary",,Excelsior Film Co.
Khoon-E-Nahak a.k.a Hamlet,K. B. Athavale,"Rampyari, K. C. Roy, Salvi, Yakbal",Drama,"Excelsior Film Co.
DOP: Ambadas Pawar"
Kanak Kanta a.k.a. Navlakha Haar,A. P. Kapoor,"Master Vithal, Meherbanu, Prabhashankar, Ata Mohamed, Lobo, Nirasha",Social,"Sharda Film Company
DOP: Chimanlal Luhar"
Karna The True Battler a.k.a. Maharathi Karna,Baburao Painter,"Keshavrao Dhaiber, V. Shantaram, Kamla Devi, Balasaheb Yadav, Nimbalkar, Sushilabai, Nandrekar, Maya, Zunzharrao Pawar, Anasuya, Tukaram Mandhere",Mythology,"Maharashtra Film Company
DOP: S. Fatelal"
Katil Kathlani a.k.a. La Belle,N. Majumdar,"D. Billimoria, Putli, Jilloobai",Social,Imperial Film Company
Kelor Kirti,Sudhansu Mustafi,"Bela Rani, Lalu Bose, Niharbala",Comedy,"Aurora Film Co., Calcutta
DOP: Debi Ghosh"
Kichak Vadha a.k.a. Sairandhari,Baburao Painter,Nimbalkar,Mythology,United Pictures Syndicate
Kunji Kishori,Kanjibhai Rathod,"Rampyari, Haider Shah, Gulab, Durga, Nizam, Haridas",,"Gujarat Studio
DOP: Chaturbhai Patel"
Lady Of The Lake a.k.a. Sarovar Ki Sundari,Rama Choudhary,"Ermeline, Jilloobai, Zebunisa, Yakub, Elizer, Madanrai Vakil, Babyro, R. s. Choudhary",Fantasy,"Imperial Film Co.
DOP: Boman Irani"
Lakho Fullani,,,Legend,Royal Arts Studio
Love And Romance a.k.a. Mohabbat Ke Musibat,M. M. Vaidya,,,"Saurashtra Film Co., Rajkot"
Lure Of Lust a.k.a. Moh-Jaal,"Nirbhoy Thakkar, M. Udwadia",,,"Saurashtra Film Co., Rajkot"
Madalsa,,,Religious,Hindustan Cinema Film Company
Madhuri,Rama Choudhary,"Sulochana, (Ruby Myers), D. Billimoria, Vakil, Jilloobai, Madanrai Vakil",Historical,"Imperial Film Company
DOP: Adi Irani, Irani Ardeshir"
