Title,Director,Cast,Genre,Notes
After The Earthquake a.k.a. Inquilab,Debaki Bose,"Durga Khote, K. C. Dey, Prithviraj Kapoor, Molina, Nawab, Nirmal Bannerjee, Syed Mohammed, Kidar Sharma, Siddiqui, Mehra, Surama, Master Raj Kapoor",Social,"New Theatres. Music: R. C. Boral
Lyrics: Kidar Sharma"
Ahe Mazluman,N. G. Bulchandani,"Roshanara, Indubala, Azmat Begum, Bibijan, A. R. Kabuli, Damodar, Rajeshwari, R. P. Kapoor, Dhumi Khan, Kailash S. N. Bannerjee",Costume,"New Tone Films. Music: M. Hussain
Lyrics:"
Al Hilal a.k.a. Judgemnt Of Allah,Mehboob Khan,"Kumar, Indira, Yakub, Sitara Devi, Kayam Ali, Razak, Asooji, Azurie, Wallace","Costume, Drama","Sagar Movietone. Mehboob Khan’s directorial debut. Music: Pransukh Nayak
Lyrics: Munshi Ehsan Lucknowi"
Alladin II a.k.a. Aaj Ka Alladin,Ninu Majumdar,"Harishchandra, Ranjit, Udwadia, Noorjahan, Amritlal Nagar, Hanumant Rao",Fantasy,"Honey Talkies. Music: Ninu Majumdar
Lyrics: Dhaniram Prem"
Anarkali,R. S. Chowdhary,"D. Billimoria, Sulochana Asooji, Jilloobai, Baba Vyas, Chanda",Legend,"Imperial Film Co. Music: Annasaheb Mainkar
Lyrics:"
Apradhi,Gunjal,"Ram Pyari, Brijmala, Madhav Kale, Kamlabai Barodekar, Amritlal Nagar, B. Sohani",Social,"Ambika Movietone. Music: Ganga Prasad Pathak
Lyrics:"
Apradhi Abla,F. R. Irani,"Yusuf Effendi, Rose, Narmada Shankar, Ghulam Mustafa, Violet, Ghulam Hussain",Social,"Madan Theatres Ltd. Music: Chhailaram Solanki
Lyrics: Munshi Dil"
Asmat Ka Moti a.k.a. Chirag-e-Arab,Fram Sethna,"Patience Cooper, Mohan, Surajram, Maneklal, Bashirjan, Gopal",Fantasy,"Pioneer Films Company. Music: Motilal Nayak
Lyrics:"
Azad Abla,A. P. Kapoor,"Ram Pyari, Sitara Devi, Kashinath, Maruti Rao, Mane",Costume,"Music:
Lyrics:"
Azadi,R. Sharma,"Vijay Kumar, Ashalata, Sorabji Kerewala, Bhai Chhaila, Naaz Banu, S. D. K. Darpan, Nurjahan",Social,"Shakti Movietone Music:
Lyrics:"
Bahadur Beti,A. R. Kabuli,"Shakuntala, Ashraf Khan, Kamlabai, Laxmi, A. R. Kabuli, Master Chonkar",Action,"Kumar Movies. Music:
Lyrics:"
Bahare Sulemani,J. P. Advani,"Zebunisa, Master Nissar, Gulab, Prabha Shankar, Bibijan, Jani Babu",Costume,"Saroj Movietone. Music:
Lyrics: Pandit Lalitprasad Akhtar"
Bahen Ka Prem,J. K. Nanda,"Padma Devi, Rafiqe Ghaznavi, Zohrabai, Lakshmi Narayan, Sultana, Sadiq, Azurie",Social,"Prosperity Films. Music: Rafiqe Ghaznavi
Lyrics:"
Bal Hatya,Ram Daryani,"Shanta Kumari, Benjamin, Yasmin, Dadabhai Sarkari, Firoze Dastur, Gope","Costume, Action","Eastern Arts. Music: Master Madhavlal
Lyrics: Gauri Shankarlal Akhtar"
Balidan,Prafulla Roy,"Ahindra Choudhury, Indubala, Dadabhai Sarkari, Lila, Devbala, R. P. Kapoor",Social,"Bharat Lakshmi Pictures. Music: Nagardas Nayak
Lyrics:"
Bambai Ki Sethani,Rasik Bhatt,"Rajkumari, Shirin, Gulab, Jayant, Lallubhai Nayak, Umakant, Ismail",Social,"Prakash Pictures. Music: Lallubhai
Lyrics:"
Barrister’s Wife,Chandulal Shah,"Gohar Mamajiwala, E. Billimoria, Ishwarlal, Bhupatrai, Shanta, Khatoon, Keki Adjania, Charlie, Dixit, Ram Apte, Raja Sandow","Social, Drama","Ranjit Studios. Music: Banne Khan, Rewashankar
Lyrics: Narayan Prasad Betaab"
Bharat Ki Beti,Premankur Atorthy,"Rattan Bai, Gul Hamid, Yasmin, Kamlabai, Amirbai Karnataki, Sarojini, Hari Shivdasani",Social,"Eastern Arts. Music: Zhande Khan
Lyrics:"
Bhikharan,Premankur Atorthy,"Rattan Bai, Master Vinayak, Pramila, Firoza begum, Raja Pandit, I. A. Hafisji, Gundopant Walavalkar, Pawar",Social,"Kolhapur Cinetone. Music: H. C. Bali
Lyrics:"
Bhool Ka Bhog a.k.a. Irony Of Fate,T. G. Lalwani,"Padmavati Shaligram, Nandu Khote, Hamida Banu, P. R. Joshi, Ranibala, Wamanrao, G. Anant, Mehar Sultana",Social,"Rajputana Films. Music: K. R. Gore
Lyrics:"
Bidrohi,Dhirendranath Ganguly,"Gul Hamid, Mazhar Khan, Indubala, Sultana, Lalit Mitra, Anupam Ghatak, Purnima Devi, Jyotsana Gupta, Ahindra Chowdhary, S. D. Burman","Social, Drama","East India Film Company. Music: Dhiren Ganguly
Lyrics:"
Birbal Ke Beti,Nanubhai Vakil,"Zubeida, Mansoor, Gulab, Hadi, Yusuf, Dinkar, Bhai Desa",Social,"Mahalaxmi Cine. Music: Lalchand Falak
Lyrics:"
Blood Feud a.k.a. Josh-E-Intaqam,Prafulla Roy,"Prithviraj Kapoor, Molina, Yakub, Mubarak, Kamla, Jagdish, Hiralal",,"New India Films. Music: Hari Prasanna Das
Lyrics:"
