Title,Director,Cast,Genre,Notes/Music
1857,Mohan Sinha,"Surendra, Suraiya, Menaka Devi, Nigar","Drama, History","Music: Sajjad Hussain
Lyrics: Anjum Pilibhiti"
Aath Din a.k.a. 8 Days,Dattaram N. Pai,"Ashok Kumar, Veera, Saadat Hasan Manto, Sunalini Devi, Upendranath Ashk, Raja Mehdi Ali Khan, S. L. Puri, Leela Mishra, Agha Jaan",,"Story: Saadat Hasan Manto
Music: S. D. Burman
Lyrics: Qamar Jalalabadi, Gopal Singh Nepali"
Aai Bahar,Shankar Mehta,"Irshad, Om Prakash, Ajmal, Asha Posley, Noor Mohammed Charlie, Ramesh",Social,"Music: Pandit Amarnath, Anupam Ghatak
Lyrics: D. N. Madhok"
Airmail,A. Rashid,"Dilawar, Surekha, Atish Sayani, Maqbool Ali, Mannan",Action,"Music: Khan Mastana
Lyrics: Shewan Rizvi"
Alibaba,Nanubhai Vakil,"Prakash, N. A. Ansari, Shanta Patel",Fantasy,"Music: Ram Gopal, Damodar Sharma
Lyrics:"
Amar Raj,Homi Wadia,"Trilok Kapoor, Nirupa Roy, Naseem Jr, Prakash, Dalpat, Atish Sayani",Mythology,"Music: Firoz Nizami
Lyrics: Pandit Phani, I. C. Kapoor"
Anmol Ghadi,Mehboob Khan,"Noor Jehan, Surendra, Suraiya, Zahur Raja, Murad, Leela Mishra, Anwari, Amir Banu, Bhudo Advani","Romance, Drama","Music: Naushad
Lyrics: Tanveer Zaidi"
Arabian Nights,Niren Lahiri,"Kanan Devi, Nawab, Molina, Hiralal, Sunder, Debi Mukherjee","Adventure, Fantasy","Music: Kamal Dasgupta
Lyrics: Fayyaz Hashmi"
Arab Ka Chand,Naseem Siddiqi,"Prakash, Shanta Patel, Iqbal, Rafiq Ansari, Mumtaz",Costume,"Music: Ram Gopal Pandey
Lyrics: Roopbani"
Arab Ka Sitara,Nanubhai Vakil,"Prakash, Amirbai Karnataki, Iqbal, Cuckoo",Costume,"Music: S. Qureshi
Lyrics: Shewan Rizvi"
Baap,S. Shamsuddin,"Paresh Bannerjee, Urmila, Sunder, Tandon, Radharani, Shobha",Family,"Music: K. P. Sen
Lyrics: Pt. Deepak Chakravarti, Jameel Mazhari"
Bachchon Ka Khel,Raja Nene,"Agha, Nimbalkar, Kabir, Baby Meena Kumari, Baby Shakuntala,",Social,"Music: C. Ramchandra
Lyrics: Mukhram Sharma. Magan"
Badnami,Majnu,"Balraj Sahni, Geeta Bali, Zubeida, Pran, Manorma, Majnu, Asha Posley, Leela",Social,"Music: Anupam Ghatak, Lachhiram Tamar
Lyrics: Aziz Kashmiri"
Baghdad Ka Chor,Nanubhai Vakil,"Prakash, N. A. Ansari, Ayaz Begum",Costume,"Music: Ram Gopal Pandey
Lyrics: Roopbani"
Bairam Khan,Gajanan Jagirdar,"Mehtab, Sunalini Devi, Jagirdar, Suresh, Lalita Pawar, David, Benjamin, Hansa","Historical, Biopic, Drama","Music: Ghulam Haider
Lyrics: Buta Ram Sharma"
Bhakta Prahlad,Dhirubhai Desai,"Ulhas, Raj Kumari, Anant Marathe, Leela Chitnis, Dixit, Kedar Kapoor, Tiwari",Devotional,"Music: K C Verma, Hanuman Prasad
Lyrics: Rammurti Chaturvedi, Bekal, Saraswati Kumar Deepak"
Bhedi Dushman,Ramjibhai Arya,"Kusum Deshpande, Kishore, Dalpat, Nazira, Majnu, Bibijan",Action,"Music: Hafiz Khan Mastana
Lyrics:Shewan Rizvi"
Bhedi Khazana,S. Usman,"Sardar Mansur, Madhurika, Bibijan, Bacha",Action,"Music:
Lyrics:"
Bindiya,Chimanlal Luhar,"Ragini, Shakir, Kamal Zamindr, Amar, Leela Mishra",Social,"Music: Kamal Dasgupta
Lyrics: Pandit Rammurti, Pandit Madhur"
Black and White,S. M. Raza,"John Cawas, Kusum Kumari, Nazira, Ranibala, Bacha, Baburao Pendharkar",Action,"Music: K. Narayana Rao
Lyrics: Shewan Rizwi"
Black Shirt,Framji Havewala,"Benjamin, Malika, Pratima Devi",Action,"Music: H. N. Sharma
Lyrics: Safdar Mirza"
Brahman Kanya,Safdar Mirza,"Benjamin, Malika, Pratima, Razia, Younus, Mannan",Social,"Music:
Lyrics:"
Chalis Karod,Nanabhai Bhatt,"Nirmala, Arun Kumar Ahuja, Yakub, Agha, Gope, Gulab, Shantarin",,"Music:
Lyrics: Safdar Mirza"
Chamakti Bijli,Homi Master,"E. Billimoria, Sulochana Chatterjee, Sheikh, Mohammed Ali, Mehndi Raza",Action,"Music: Vasant Kumar Naidu
Lyrics: Pandit Bhardwaj"
Chandni Chowk,Thakur Himmat Singh,"Erika, Naeem Hashmi",Drama,"Music:
Lyrics:"
Chehra,R. Sharma,"Suraiya, Kamal Zamindar, Najma, S, Kapoor, Zulfi, Jugal Kishore, Amir Banu",Social,"Music: M. A. Mukhtar
Lyrics: I. C. Kapoor"
Circus King,B.R. Mudnaney,"Brijmala, Baburao, Cuckoo, Mirajkar, Ghori",Action,"Music: N. Nagesh Rao, J. Abhyankar
Lyrics: Raziuddin"
Dasi Ya Maa,Shaukat Hussain Rizvi,"Durga Khote, Shahu Modak, Jilloobai, Shantarin, Majid","Family, Drama","Music: Mushtaq Hussain
Lyrics: Waheed Qureshi"
