Title,Director,Cast,Genre,Music
Aar Paar,Guru Dutt,"Guru Dutt, Shyama, Johnny Walker, Jagdish Sethi, Jagdeep, Tun Tun, Bir Sakuja","Romance, Drama",Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri
Adhikar,Mohan Sehgal,"Usha Kiran, Kishore Kumar, Radhakrishan, Yashodara Katju, Balam, Roopmati","Family, Drama",Music: Avinash Vyas Lyrics: Prem Dhawan
Amar,Mehboob Khan,"Dilip Kumar, Madhubala, Nimmi, Jayant, Ulhas, Mukri, Murad","Social, Drama",Music: Naushad Lyrics: Shakeel Badayuni
Amar Kirtan,K. C. Pandit,"Shahu Modak, Ameeta, Madan Puri, Kumkum, Jayant, Chand Burke, Maya Dass",Devotional,Music: S. D. Batish Lyrics: Wali Sahab
Ameer,Chandu,"Geeta Bali, Kamal Kapoor, Tiwari, Manju, Basant Rao, Panna Lal",Action,"Music: Lachhiram Tamar Lyrics: Asad Bhopali, Pyarelal Santoshi, Uddhav Kumar"
Angarey,,"Nargis, Nasir Khan, Pran, Rattan Kumar, Jeevan, K. N. Singh, Gajanan Jagirdar, Baby Nanda, Paro Devi,","Costume, Drama",Music: S. D. Burman Lyrics: Sahir Ludhianvi
Aulad,Mohan Sehgal,"Nirupa Roy, Balraj Sahni, Usha Kiran, Radhakrishan, Haroon","Family, Drama","Music: Sardar Malik Lyrics: Prem Dhawan, Raja Mehdi Ali Khan, Vishwamitra Adil"
Aurat Teri Yehi Kahani,Chaturbhuj Doshi,"Nirupa Roy, Bharat Bhushan, Chandrashekhar, Sulochana",Drama,"Music: Bulo C. Rani Lyrics: Saraswati Kumar Deepak, D. N. Madhok,"
Baadbaan,Phani Majumdar,"Ashok Kumar, Meena Kumari, Dev Anand, Usha Kiran, P. Jairaj, Sheikh Mukhtar, Leela Chitnis, Mehmood","Social, Drama","Filmfare Best Supporting Actress Award - Usha Kiran. Music: Timir Baran, S. K. Pal Lyrics: Indeevar"
Baap Beti,Bimal Roy,"Nalini Jaywant, Ranjan, Nazir Hussain, Tabassum, Nazima, Sunalini Devi, Asha Parekh",Family,Music: Roshan Lyrics: Kavi Pradeep
Badshah,Amiya Chakraborty,"Pradeep Kumar, Usha Kiran, Mala Sinha, K. N. Singh, Agha, Achala Sachdev, Ulhas","Action, Drama","Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra"
Bahut Din Huwe,S. S. Vasan,"Madhubala, Agha, Lalita Pawar, Kanhaiyalal, Master Rattan Kumar, M. K. Radha, Gulab, Pushpavalli","Costume, Drama",Music: B. S. Kalla
Barati,J. K. Nanda,"Chand Usmani, Agha, Peace Kanwal, Johnny Walker, Om Prakash, Leela Mishra, Agha Miraz, Shyam Kumar","Family, Drama","Music: Roshan Lyrics: Raja Mehdi Ali Khan, D. N. Madhok, Jan Nisar Akhtar, Tanveer Naqvi"
Bazooband,Ramanand Sagar,"Balraj Sahni, Sulochana Chatterjee, Om Prakash, Radhakrishan, Anwar Hussain, Roopmala, Ramesh Kumar",Social,"Music: Mohammed Shafi Lyrics: Prem Dhawan, Daag, Chandrashekhar"
Betab,Harbans,"Ashok Kumar, Kamal, Kumar, Motilal, Murad",Social,"Music: S. D. Batish Lyrics: Kaif Irfani, Roop Bani, Shevan Rizvi"
Bhai Sahab,Ravindra Dave,"C. H. Atma, Smriti Biswas, Purnima, Rattan Kumar, Jagdeep",Social,Music: Neenu Majumdar Lyrics: Shailendra
Bilwamangal,D. N. Madhok,"Suraiya, C. H. Atma, Asha Mathur, Ulhas, Nirupa Roy",Devotional,Music: Bulo C. Rani Lyrics: D. N. Madhok
Biraj Bahu,Bimal Roy,"Kamini Kaushal, Abhi Bhattacharya, Pran, Manorama, Shakuntala, Randhir, Nazima, Iftekhar, Moni Chatterjee, Kammo","Family, Drama","Filmfare Awards for best direction- Bimal Roy, best actress- Kamini Kaushal, Certificate of Merit for Best Feature Film. Music: Salil Chowdhary Lyrics: Prem Dhawan"
Bokul,Bholanath Mitra,"Uttam Kumar, Tulsi Chakraborty, Basanta Choudhury, Master Qamar, Arundhati Mukherjee, Manorama",Social,Music: Pronob Dey Lyrics: Pandit Bhushan
Boot Polish,Prakash Arora,"David, Master Rattan, Baby Naaz, Chand Burke, Bhudo Advani, Veera",Social,"Filmfare Awards for Best Film - Raj Kapoor, Best Supporting Actor - David, Best Cinematographer - Tara Dutt. Music: Shankar Jaikishan Lyrics: Shailendra, Saraswati Kumar Deepak, Hasrat Jaipuri"
Chakradhari,Raman B. Desai,"Nirupa Roy, Shahu Modak, Trilok Kapoor, Yashodara Katju, Maya Dass, Ram Avtar, Rooplaxmi",Devotional,Music: Avinash Vyas Lyrics: Kavi Pradeep
