Title,Director,Cast,Genre,"Notes
Cinematographer"
Ahiravan Mahiravan Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Shanta Nalgunde, Ghanshyam Singh, Sane",Mythology,"Hindustan Cinema Film Company, Nasik
DOP: Anna Salunke"
Ajamil,Kanjibhai Rathod,"Khalil, Jamna, Homi Master, Gangaram",Devotional,Kohinoor Film Company
Andhare Alo a.k.a The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","Durga Rani, Lila Debi, Sisir Kumar Bhaduri, Naresh Mitra, Jogesh Choudhury, Kankabati","Social, Drama","Taj Mahal Film Company Ltd., Calcutta
DOP: Noni Gopal Sanyal"
Ashoka a.k.a Samrat Ashoka,,,Historical,Madan Theatres Ltd.
Bhakta Ambarish,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya",Devotional,"Kohinoor Film Company
DOP: Gajanan S. Deware"
Bhakta Shiromani a.k.a. Rajrishi Ambarish a.k.a. Bhakta Shiromani,Dadasaheb Phalke,,Devotional,"Hindustan Cinema Film Company, Nasik"
Bhartrahari a.k.a. King Bhartrahari,S. N. Patankar,"Tara Koregaonkar, Thatte",Legend,"National Film Company
DOP: S. N. Patankar"
Bhishma,Jyotish Bannerjee,"Master Mohan, Keki Adjania",Mythology,Madan Theatres Ltd.
Bhishma Bana Shayya,,Madanrai Vakil,Mythology,"Star Films Ltd.
DOP: Vishnu B. Joshi"
Bhishma Pratigna,R. S. Prakash,,Mythology,Star Of The East Film Co.
Bidyasundar a.k.a. The Lover's Trance,Sundar Narayan Ray,Durgarani,Legend,"Aurora Film Company, Calcutta
DOP: Debi Ghosh"
Bimata a.k.a. Bijoy Basant a.k.a. Stepmother,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly, Miss Joy Billy",Social,Lotus Film Co.
Bisha Briksha a.k.a. Bishabriksha a.k.a Poison Tree,Jyotish Bannerjee,"Durgadas Bannerjee, Miss Light, Basantakumari, Manoranjan Bhattacharya, Gopalchandra Bhattacharya, Lila Debi, Kartik Dey","Social, Drama","Madan Theatres Ltd.
DOP: Jatin Das"
