Title,Director,Cast,Genre,Notes
Aab-E-Hayat,Krishna Gopal,"Kardar, Nazir, Ali Athar, Master Bachcha, A. R. Pehlwan, Nurjahan",Costume,East India Film Company. Music: K. C. Dey
Afzal,M. Bhavnani,"Master Nissar, Ameena, Bhudo Advani, A. R. Kabuli, Haseena",Costume,"Ajanta Cinetone. Music: B. S. Hoogan
Lyrics: Abdul Rahman Kabuli"
Alif Laila,"Balwant Bhatt, Shanti Dave","Zohrajan, Nazir, Bashir, Gul Banu, Lallubhai, M. Esmail, Pawar",Fantasy,"Royal Cinetone. Music: Kikubhai Yagnik
Lyrics: Pandit Anuj"
Alladin And His Wonderful Lamp,J. J. Madan,"Rose, Leela, Gulzar, Narbada Shanker, Sheela, Mustafa, A. R. Kabuli",Fantasy,Madan Theatres Ltd. Silent film.
Ankh Ka Nasha,J. J. Madan,"Mukhtar Begum, Mohammed Hussain, Jahanara Kajjan, Surajram, Rajkumari, Shaila, Rosy, Sushila, Sorabji",Social,"Madan Theatres Ltd. Music: Brijlal Varma
Lyrics:"
Aurat Ka Dil,H. R. Soni,"P. Jairaj, Tarabai, Mubarak, Sitara Devi, Alaknanda, Shamsudin, Kamlabai",Social,Trilok Cinetone. Music: H. C. Bali
Aurat Ka Pyar,Abdul Rashid Kardar,"Gul Hamid, Anwari Bai,Mazhar Khan, Athar, Bachcha, Mukhtar Begum, A. R. Pahelwan",Social,East India Film Company. Music: Mushtaq Ahmed
Awara Shehzada,Master Vithal,"Shahu Modak, Salvi, Javdekr, Sundarabai, Vasantrao Pahelwan, Rani","Action, Costume",Saraswati Cinetone. Music: Annasaheb Mainkar
Bhagya Chakra,"Haribhai Desai, Baburao Apte",,,Surya Film Company.
Bhola Shikar,Jayant Desai,"E. Billimoria, Mehtab, Ghory, Kamla Devi, Ishwar, Kesari, Dixit, Shanta Kumari, Rewashankar",Costume,"Ranjit Studios. Music: Jhande Khan
Lyrics: Dhaniram Prem"
Bhool Bhulaiya,Jayant Desai,"Dixit, Ghory, Kamla Devi, Ishwar, Kesari, Shanta Kumari, Keki Adjania",Comedy,"Ranjit Studios. Music: Jhande Khan
Lyrics Dhaniram Prem"
Bulbule Punjab,Nanubhai Vakil,"Shahu Modak Zubeida, Yakub, Shahzadi, Rewashankar, Shanta Kumari, Ganga Prasad, Yusuf, Dinkar, Pawar","Legend, Romance","Mahalaxmi Cinetone. Music: S. P. Rane
Lyrics: Pandit Rane"
Chandrahasa,Sarvottam Badami,"Kamla Devi, Charlie, Miss Gulzar, Master Bachchu, Khatoon, Mehboob Khan, Asooji, Dinkar, Baburao Sansare",Mythology,"Sagar Movietone. Music: S. P. Rane
Lyrics:"
Char Darvesh,Prafulla Ghosh,"Kanan Devi, Trilok Kapoor, Tulsi Chakravorty, K. Kumar, Radha Bhattacharya, Binoy Goswami, Angurbala, K. Kumar, S. Das",Fantasy,"Radha Film Company. Music: Radhacharan Bhattacharya
Lyrics: Pandit J. Mehra"
