Title,Director,Cast,Genre,"Notes
Cinematographer"
All for Money a.k.a. Paisa Na Gulam,Prafulla Ghosh,"Vishnu, Rampyari, Gulab, Takle, Haider Shah",Social,"Krishna Film Company
DOP: Gordhanbhai Patel[14]"
Akalmand Bewaqoof a.k.a. Foolish Wisdom,Dada Sarkari,Dada Sarkari,Comedy,Madan Theatres[15]
Anarbala a.k.a. Fairy of Anar,Bhagwati Mishra,"Navinchandra, Zebunnisa, Ata Mohammed, Nirasha",Costume,"Sharda Film Company
DOP: K. V. Machve"
Apahrita a.k.a. The Kidnapped Girl,Kali Prasad Ghose,"Renubala, Pafulla, Bhumen Roy, B. S. Rajhans, Amitav Ghosh, Sukriti devi, Nimai",,"Indian Kinema Arts, Calcutta
DOP: Noni Gopal Sanyal, Jatin Das"
A Throw Of Dice a.k.a. Prapancha Pash,Franz Osten,"Himanshu Rai, Seeta Devi, Charu Roy, Modhu Bose, Lala Bijoykishen, Tinkari Chakraborty, Sarada Gupta",,"Himansu Rai Film, U.F.A., British Instructional Films Ltd.
DOP: Emil Schunemann"
Baghdad Nu Baharvatiyo a.k.a Thief of Baghdad,N. G. Devare,"Jamuna, J. K. Nanda, Elizer, Rajababu, Usha, Ganibabu","Costume, Action","Kohinoor United Artists
DOP:"
Bahadur Baharvatiyo a.k.a. Terror of the Hills,Dhirubhai Desai,"Navinchandra, Rajkumari, Kukreja",Action,"Sharda Film Company
DOP: G. K. Mehta"
Bangabala,"Dwarka Khosla, Manomoy Bandyopadhyay","Uma Shashi, Phani Burma, Bankim Dutta, Moni Burma, Nanda Babu",Social,"Graphic Arts, Calcutta
DOP: Dwarka Khosla"
Baji Prabhu Deshpande a.k.a. Valley of the Immortals,Baburao Painter,"V. Shantaram, B. K. Mistry, Sardar B,",Historical,"Maharashtra Film Company
DOP:[16]"
Be Dhari Talwar a.k.a. Challenge,Bhagwati P. Mishra,"E. Billimoria, Ermeline, Mazhar Khan, Boman Shroff, W. M. Khan, Asooji","Costume, Action",Imperial Film Company
Bhedi Sawar a.k.a. Masked Cavalier,A. P. Kapoor,"Master Vithal, Prabhashankar, Ata Mohammed",Action,"Sharda Film Company
DOP: Naval Bhatt"
Bhool Bhulaiyan,Vithaldas Panchotia,,,
Bicharak a.k.a. The Judge,Sisir Kumar Bhaduri,"Sisir Bhaduri, Tarakumar Bhaduri, Shefalika, Sailen Choudhary, Jogesh Choudhary, Kankabati, Bishwanath Bhaduri",Social,"Eastern Films Syndicate
DOP: Nitin Bose"
Bilwamangal a.k.a. Bhakta Surdas,Homi Master,"Neelam, Elizer, Bhopatkar, Jamuna",Devotional,Kohinoor Film Company
Bikharan a.k.a. Beggar Girl,Chandulal Shah,"Keshav Narayan Kale, Gohar, Baba Vyas, Baburao Sansare, Thatte",Social,"Ranjit Film Company
DOP: Pandrang S. Naik"
Blood For Blood a.k.a. Raktacha Sood,Pandurang Talegiri,"Jairam Desai, Gangubai, Sundarrao Nadkarni, Wamanrao Kulkarni, Baburao Gade, Dattopant Sohoni",Historical,"United Pictures Syndicate
DOP: Y. D. Sarpotdar"
Bolti Tapeli a.k.a. Talking Pot,Dadasaheb Phalke,,,"Hindustan Cinema Film Company, Nasik"
Broken Hearts a.k.a. Zakhmi Jigar,Narayan Deware,"Jamuna, Kumudini, Samson, Thomas",Costume,N. G. Deware
Chandrahasa,Dadasaheb Phalke,,Historical,"Hindustan Cinema Film Company, Nasik"
Chandramukhi a.k.a. Moon-Faced Beauty,Chandulal Shah,"Gohar, Raja Sandow, Ghanshyam, R. N. Vaidya, Baba Vyas",Social,"Shri Jagdish Film Company
DOP: Pandurang S. Naik"
Chirag-e-Kohistan a.k.a. Lamp of the Hut,Anand Prasad Kapoor,"Master Vithal, Pramoth Bose, Lobo, Prabhashankar",Social,"Sharda Film Company
DOP: Naval Bhat"
Choice Of A Bride a.k.a. Kishori,Haribhai Desai,"Bachhu, Laxmi, Ganpat Bakre, Zhunzharrao Pawar, Baburao Gade",Social,"Surya Film Company, Bangalore
DOP: D. B. Chauhan"
Collegian,V. M. Gunjal,"Miss Bunda, Hasam",Social,"Gunjal Productions, Saee Films Production Co."
Dagakhor Dilbar a.k.a. King's Paramour,,"Jilloobao, Elizer","Costume, Action",British India Film Co.
Daring Rathod a.k.a. Veer Rathod,Kanjibhai J. Rathod,"Rampyari, Abdul Pahelwan, Haider Shah, Durga, Miss Sardar","Action, Historical","Krishna Film Company
DOP: Haribhai Patel"
Dashrathi Ram,G. V. Sane,"Durga Koregaonkar, Bhaurao Datar, Lalita Pawar, P. N. Varne, Meera, Anant Khule",Religious,"Aryan Film Company
DOP: Y. D. Sarpotdar"
Dilruba a.k.a. Belle of Bombay,Harshadrai Mehta,"Nandram, Zebunnisa, Janibabu, Joshi, Meharbanu, Nirasha. P. N. Varne",Social,"Sharda Film Company
DOP: Chimanlal Luhar"
Dharma Patni a.k.a The Ideal Hindu Wife,A. Narayan,"Devaki, T. P. Kailasam,",Social,"General Pictures Corporation, Madras"
Fairy Of Sinhaldwip a.k.a. Sinhaldweep Ki Sundari,Nanubhai Vakil,"Putli, Inamdar, Manilal, Thatte",Fantasy,"Ranjit Film Company
DOP: Jamnadas Subedar"
Falak Numa a.k.a. Triumph of Love,Madhusudan Smart,"Abdul Razaq, Miss Ricks, Faredoon, Kisan Lal, Nooman",Costume,Indira Film Company
