Title,Director,Cast,Genre,"Notes
Cinematographer"
Adbhoot Khoon a.k.a. Horrible Murder,,,,United Pictures Syndicate
A Fair Warrior a.k.a Shoor Killedarin,Vishnupant Aundhkar,"Gangubai, Wamanrao Kulkarni",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Alladin and His Wonderful Lamp a.k.a. Alladdin Ane Jadui Fanas,Bhagwati Prasad Mishra,"Zebunissa, Yusuf, Elizer",Fantasy,Imperial Film Company
Allah Ka Pyara,K. P. Bhave,"Elizer, Zebunissa, Jamshedji, Madanrai Vakil, Indira Devi, Mehboob Khan",,"Imperial Film Company
DOP: Adi Irani"
Alibaba and the Forty Thieves a.k.a. Alibaba Chalis Chor,Bhagwati Prasad Mishra,"Sulochana (Ruby Myers, Elizer, Jamshedji Khansaheb, Jilloobai, Madanrai Vakil",Fantasy,"Imperial Film Company
DOP: Rustom Irani"
Asuri Lalsa,Nanubhai B. Desai,"Master Vithal, Janibabu, Kumudini, Malka",,Sharda Film Company
At The Clang Of Fetters a.k.a. Janjir Ne Jhankhare,Harshadrai Mehta,"Nandram, Gulab, Haidershah, P. R. Joshi, Gangaram, Sultan Alam",Action,"Krishna Film Co
DOP: Chimanlal Luhar"
Balidan a.k.a. Sacrifice,Naval Gandhi,"Sulochana (Ruby Myers), Zubeida, Master Vithal, Jal Khambatta, J. Makhijani","Social, Costume","Writers: Jamshed Ratnagar, based on a play by Rabindranath Tagore. Orient Pictures Corporation
DOP: Naval Bhatt"
Bansari Bala a.k.a. Fairy Of The Flute,A. P. Kapoor,"Master Vithal, Madhuri, Jani Babu, Asha, Meherbanu",Fantasy,"Sharda Film Company
DOP: Naval Bhatt"
Be Ghadi Mouj a.k.a. Pleasure Mad,Narayan Deware,"R. N. Vaidya, Jamuna, Rustomji Patel, Thomas, Rajababu",Social,Kohinoor Film Co Narayan Deware
Bhakta Sudama,Dadasaheb Phalke,"Bhaurao Datar, Kshirsagar",Devotional,"Hindustan Cinema Film Company, Nasik"
Bhaneli Bhamini a.k.a. Educated Wife,Homi Master,"Gohar, Raja Sandow P.K., R.N. Vaidya, Master Kishore",Social,Kohinoor Film Company
Bhedi Trishul a.k.a. Hidden Treasure,Nanubhai B. Desai,"Master Vithal, Miss Mani, Prabhashankar, Janibabu, Lobo, A. P. Kapoor",Action,"Sharda Film Company
DOP: Naval Bhatt"
Bhim Sanjivan a.k.a. How Bhim Was Brought Back To Life,G. V. Sane,"Bhaurao Datar, Anasuya",Devotional,"Hindustan Cinema Film Company, Nasik
DOP: Anna Salunke"
Chandidas a.k.a. Shree Krishna's Devotee,Jyotish Bannerjee,"Patience Cooper, Jyotsna Devi, Tulsi Bannerjee, Purnima Devi, Nilima Devi, Manorama, Pullanalini",Devotional,
Cultured Criminal a.k.a. Sudheral Shaitan,,,Social,"Saurashtra Film Co., Rajkot"
Daksha Yagna,G. V. Sane,"Bhaurao Datar, Anasuya, Bachu Pawar, Gangubai Mohite",Devotional,"Hindustan Cinema Film Company, Nasik"
Dasavatar,R. S. Prakash,,Mythology,
Daya Ni Devi a.k.a. The Nurse,Mohan Dayaram Bhavnani,"Sulochana (Ruby Myers), D. Billimoria, Jamshedji",Social,Imperial Film Company
Detective Kumar,K. B. Athavale,"K. B. Athavale, Rampyari, Nalini, Salvi",Social,"Excelsior Film Co
DOP: D. D. Dabke"
Dilfarosh a.k.a. Merchant Of Hearts,M. Udwadia,"M. Udwadia, K. B. Athavale, Nargis, Saiyed Umer","Costume, Drama","Based on Merchant of Venice. Excelsior Film Co.
DOP: D. D. Dabke"
Draupadi Vastraharan,Dadasaheb Phalke,"Baburao Datar, Gangubai Mohite, Bachoba",Mythology,"Hindustan Cinema Film Company, Nasik
DOP: Anna Salunke"
Durgesh Nandini,Priyanath Ganguly,"Patience Cooper, Seeta Devi, Durgadas Bannerjee, Ahindra Chowdhury, Naresh Mitra, Jainarayan Mukherjee, Indira Devi, Geeta, Kanu Bannerjee, Prabodh Bose, Kanaknarayan Bhup","Romance, Legend","Based on Bankim Chandra Chattopadhyay's novel, Durgeshnandini. Madan Theatres Ltd.
Dop: Manglu"
Eighth Incarnation a.k.a. Krishna Sambhav,N. D. Sarpotdar,"Gangubai, Wamanrao Kulkarni",Religious,"United Pictures Syndicate
DOP: V. V. Date"
E Kon? a.k.a. Who,J. Jhaveri,Blanche Verne,,Sri Ram Film Company
Fairy Of Delhi a.k.a. Rangmahal Ni Ramani,Homi Master,"Shahzadi, Khalil",Costume,"Kohinoor Film Company
DOP: Pandurang S. Naik"
Gandharva Kanya a.k.a. The Reunion,,"Nandram, Leena, Gangaram, durga, Chandra, Nizam",Costume,Krishna Film Company
Glory Of Virtue a.k.a. Sheel Prabhav,Vishnupant Aundhkar,,Social,United Pictures Syndicate
Goddess of Love,Fatma Begum,Fatma Begum,,
Guarding Angel,K. P. Bhave,"Zebunisa, Khansaheb, Jamshedji",Social,
Gulzar a.k.a. The Horrors Of Slavery,Nanubhai Desai,"Yakub, Jani Babu, Mallika, Mani",Costume,"Sharda Film Company
DOP: Naval Bhatt"
Gunsundari a.k.a. Why Husbands Go Astray,Chandulal Shah,"Raja Sandow, Gohar, Rampyari, R. N. Vaidya, Jumna",Social,"Kohinoor Film Company
DOP: Narayan Deware"
Hanuman Janma a.k.a. The Birth Of Hanuman,Dadasaheb Phalke,"Bhaurao Datar, Yamuna Gole, Laxman Malusare",Religious,"Hindustan Cinema Film Company, Nasik
DOP: Anna Salunke"
Jaane-E-Alam Anjumanara,Nanubhai B. Desai,"Janibabu, Kumudini, Mallika",Fantasy,Sharda Film Company
Jana,Priyanath Ganguly,"Patience Cooper, Dinesh Ranjan Das, Indira Devi, Krishnadan Mukherjee, Tulsi Bannerjee",Mythology,Madan Theatres Ltd.
Jewelled Arrow a.k.a Poonam No Chand a.k.a. Ratna Baan,Bhagwati Mishra,"Zebunissa, Indira Devi, Elizer, Jamshedji",Costume,"British India Film Co., Imperial Film Company"
Kailash Kumari a.k.a. Sansar Shatranj,Nanubhai Desai,"Miss Mani, Jani Babu, Mallika",,"Sharda Film Company
DOP: Naval Bhatt"
Kala Pahad a.k.a. Masked Teror,A. P. Kapoor,"Shanta Kumari, Master Vithal, Kumudini",Costume,Sharda Film Company
Keshavkant B.A. a.k.a. Chastity Versus Unchastity,Harshadrai Mehta,"Nandram, Keshavlal, Yakbal, Nizam",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Krishnakanta's Will a.k.a. Krishnakanter Will,Priyanath Ganguly,"Patience Cooper, Seeta Devi, Durgadas Bannerjee, Ahindra Chowdhury, Naresh Mitra, Jainarayan Mukherjee, Indira Devi, Geeta, Kanu Bannerjee, Prabodh Bose, Kartik Dey",Social,"Based on Bankim Chandra Chattopadhyay's. Madan Theatres Ltd.
Dop: Charles Creed, Jatin Das"
Krishna Sakha,Ahindra Choudhury,"Santosh Sinha, Ahindra Choudhury, Saraswati, Brojendra Sirkar, Firozbala, Sushil Ghosh, Saraswati Devi, Tarakbala",Religious,"Aurora Film Company, Calcutta
DOP: Debi Ghosh"
Kalapani No Kaidi a.k.a. Return Of Kala Naag,Homi Master,"Shakuntla, Homi Master, Janki, Khalil",Costume,"Kohinoor Film Company
DOP: Pandurang S. Naik"
Kicks Of Kismet a.k.a. Naseeb Ni Lila,Mohan Dayaram Bhavnani,"Sulochana (Ruby Myers), Madanrai Vakil, Ermeline, Jilloobai",Social,Imperial Film Company
Kimti Aansu a.k.a. Precious Tears,Harshadrai Mehta,"Nandram, Yakbal, Nizam, P. R. Joshi, Vishnu",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Kul Deepak a.k.a. Born Hero,Kanjibhai Rathod,"Gulabbai, Haider Shah, Nandram, Durga, Nizam",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Laila Majnu a.k.a. Laila And Majnu,Manilal Joshi,"Zubeida, Madanrai Vakil, Shahzadi","Legend, Romance","Excelsior Film Company
DOP: D. D. Dabke"
Lohika Lilam a.k.a. Soul Of Slave,Manilal Joshi,"Heera, Nargis",Costume,"Excelsior Film Company
DOP: D. D. Dabke"
Madalasa,G.V. Sane,"Bhaurao Datar, Anasuya",Devotional,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Mahasati Ansuya,Kanjibhai Rathod,"Master Vithal, Sakina",Devotional,"Krishna Film Company
DOP: Chaturbhai Patel"
