Title,Director,Cast,Genre,Notes
Aabroo,Nazir,"Sitara Devi, Yakub, Masud, Nazir Ahmad, Laddan and Chandabai, Laddan, Jagdish Sethi",Social,"Music: Pandit Gobindram Lyrics: Tanveer Naqvi, Rajjan, Hasrat Lakhnavi, Swami Ramanand Saraswati"
Aadab Arz,V.C. Desai,"Nalini Jaywant, Karan Dewan, Mukesh, Dulari","Social, Drama","Music: Gyan Dutt Lyrics: Rammurti Chaturvedi, Pandit Indra, Kailash Matwala."
Aage Kadam,N.R. Acharya,"Motilal, Anjali Devi, Mubarak, Rajkumari Shukla, Padma Bannerji, Nand Kishore, Narmada Shankar",Social,"Music: Madhav Lal, Ramchandra Pal
Lyrics: Kailash Matwala"
Aankh Ki Sharm,Balwant Bhatt,"Prithviraj Kapoor, Trilok Kapoor, Kaushalya, Agha, Dalpat, Minakshi, Himalayawala, Nalini Gute, Nayampalli, Bibijan",Social,"Music: Vasant Desai
Lyrics: Pandit Indra"
Amaanat,Lalit Chandra Mehta,"Harish, Husn Banu, Bhudo Advani, Sankatha Prasad, Agha, Dulari, Kayam Ali, Minakshi, Laddan, Nawab",Action,"Music: Ninu Mujumdar
Lyrics: Neelkanth Tiwari"
Andhera,Aspi Irani,"Sitara Devi, Arun Kumar, Kesari, Rajkumari, K C Dey, M. Bhagwandas, Baby Madhubala","Social, Melodrama","Music: Gyan Dutt
Lyrics: Pandit Indra"
Angoori,Mahesh Kaul,"Ulhas, Kaushalya, Sunetra, Angre, Dar Kashmiri",Social,"Music: G. M. Durrani
Lyrics: Rammurti Chaturvedi"
Andhi Duniya,Produced by Zenith Pictures,"Nandrekar, Feroza Begum, B Yadav",Social,"Music:
Lyrics:"
Angoothi,Bibhuti Mitra,"Ashok Kumar, Chandraprabha, Leela Mishra, S. Nair, Prahlad, Priti Majumdar",Social,"Music: Lalubhai Bhojak, Ashok Ghosh
Lyrics: Firoz Jalandhari"
Ashirwad,Ramchandra Thakur,"Lalita Pawar, Balwant Singh, Jilloobai, Rampyari, Vatsala Kumthekar, S. B. Nayampalli, Qayam Ali","Family, Drama","Music: Anna Saheb
Lyrics: Raghunath Brahmbhatt, Pandit Phani, Pandit Indra"
Badalti Duniya,Mohan Sinha,"Mumtaz Shanti, Trilok Kapoor, K.C. Dey, Badri Prasad, Rajkumari Shukla",Social,"Music: Khan Mastana, K.C. Dey, Madhukar, Haribhai Bhojak
Lyrics: Mohan Sinha"
Badla,Bhagwan,"Anjali Devi, Bhagwan, Devika, C. Ramchandra, Baburao Pehlwan, Raj Kamal","Action, Drama","Music: C. Ramchandra
Lyrics: Ehsan Rizvi"
Bansari,Jayant Desai,"Ishwarlal, Urmila, Shamim, Noor Mohammed Charlie, Dixit. Bhagwan Das, Kesari",Social,"Music: Gyan Dutt
Lyrics: D. N. Madhok, Pandit Indra"
Bhagta Bhoot,Ramanlal Desai,"Prakash, Madhurika, Baburao Pehalwan, Firoza Begum, Mumtaz Begum, Vasantrao Pehalwan, Brajrani, Amir Bano, Mirajkar",Action,"Music: Vasant Kumar Naidu
Lyrics: Ehsan Rizvi"
Bhaichara,G.K. Mehta,"Bharat Bhushan, Sunetra, Ansari, Himmat Rai, Veena Kumari Hadi, Ramesh Sinha, Rajinder Singh",Social,"Music: Himanshu Dutta
Lyrics: Kumar Vyas, Uday Shankar Bhatt, I. C. Kapoor"
Bhakta Raidas,Keshavrao Dhaiber,"Paresh Banerji, Anant Marathe, Sheela, K. N. Singh, Menka Lalita Pawar, Lalita Pawar","Biopic, Devotional","Music: Saraswati Devi
Lyrics: Safdar Aah"
Bhaktaraj,Jayant Desai,"Vasanti, V. Padnis, Kaushalya, Mubarak, E. Billimoria, Dixit, Sheela, Bhagwan Das",Devotional,"Music: C Ramchandra
Lyrics: D. N. Madhok"
