Title,Director,Cast,Genre,Notes
11 O'Clock,Homi Wadia,"Fearless Nadia, John Cawas, Atish Sayani, Aftab, Shyam Sunder",Action,"Music: Chitragupta
Lyrics: Rajjan"
Aag,Raj Kapoor,"Raj Kapoor, Nargis, Premnath, Nigar Sultana, Kamini Kaushal, B. M. Vyas","Romance, Drama","Music: Ram Ganguly
Lyrics: Behzad Lakhnavi, Majrooh Sultanpuri, Saraswati Kumar Deepak"
Aaj Ka Farhad,Balwant Joshi,"Nainkant, Nargis, Arvind Kumar, Leela Gupte, Zohra, Kesari",Action,"Music: Khan Mastana, Raj Ram
Lyrics: Chabi Kumar Mast, Y.N. Joshi"
Aaj Ki Raat,D.D. Kashyap,"Motilal, Suraiya, Yakub, Shah Nawaz, Leela Mishra, Anita Sharma, Raj Mehra, Sangeeta",Social,"Music: Husnlal Bhagatram
Lyrics: Rajendra Krishan"
Aap Beeti,Kumar,"Pramila, Agha, Kumar, Khurshid, E. Bilimoria",Social,"Music: Haribhai Mistry
Lyrics: Hasrat Lakhnavi, Gopal Singh Nepali"
Actress,Najam Naqvi,"Rehana, Prem Adib, Meena Shorey, David, Mukri, Jamal Amrohi","Romance, Social","Music: Shyam Sunder
Lyrics: Nakhshab Jarchvi, Pyarelal Santoshi, Raja Mehdi Ali Khan"
Adalat,Vasant Joglekar,"Jog Madgulkar, Sudha Apte, Saroj Borkar, Baburao Pendharkar, Shalini Devi",Social,"Music: Datta Devjekar
Lyrics: Narendra Sharma, Mahipal"
Ajamil,J. Kapadia,"Manhar Desai, Suresh, Kanta Kumari, Malti, Umakant, Shanta Kumari, Narmada Shanker",Costume,"Music: Master Mohan Junior
Lyrics: Prabhulal Dwivedi"
Ajit,Mohan Dayaram Bhavnani,"Prem Nath, Monica Desai, Yadhodhara Katju, Gope, Ram Kamlani, Badri Prasad",Costume,"Music: Gobind Ram
Lyrics:"
Amar Prem,N.M. Kelkar,"Raj Kapoor, Madhubala, Madhav Kale, Alka Rani, Nimbalkar","Romance, Drama","Music: Dutt Thakur
Lyrics: Mohan Mishra"
Andhon Ka Sahara,V. Thungare,"Leela Gupte, Vijay Kumar, Inamdar, Surve, Kamladevi",Social,"Music: S. Parsekar
Lyrics: Kesharinath Vaidya"
Anjangarh,Bimal Roy,"Sunanda Banerjee, Hiralal, Bipin Gupta, Ajay Kumar, Asit Sen, Parulkar, Manorama, Tulsi Chakraborty",,"Music: R. C. Boral
Lyrics: Ramesh Pandey, Pandit Bhushan"
Anjuman,Akhtar Hussain,"P. Jairaj, Nargis, Anwar Hussain, Neelam, Durga Khote, Chandabai",Social,"Music: Bulo C. Rani
Lyrics: Majrooh Sultanpuri"
Anokhi Ada,Mehboob Khan,"Naseem Banu, Surendra, Prem Adib, Zeb Qureshi, Cuckoo, Bhudo Advani, Murad","Drama, Romance, Musical","Music: Naushad
Lyrics: Shakeel Badayuni"
Anokha Pyar,M.I. Dharamsey,"Dilip Kumar, Nargis, Nalini Jaywant, Mukri, Uma Dutt, Habib, Sheikh, Sankatha Prasad","Romance, Drama","Music: Anil Biswas
Lyrics: Shams Azimabadi, Zia Sarhadi, Behzad Lakhnavi"
Asha,L. Meghani,"Sohan, Urvashi, Shanta Kanwar, Samson, Shivraj, Tiwari",Social,"Music: Khemchand Prakash
Lyrics: L. Meghani"
Azad Hindustan,Nanubhai Vakil,"Suraiya Choudhary, Prakash, Shamim, Mayaram, Kamlarani, Anwari",Social,"Music: A. R. Qureshi
Lyrics: Pandit Anuj"
Azadi Ki Raah Par,Lalit Chandra Mehta,"P. Jairaj, Prithviraj Kapoor, Vanmala, Sunalini Devi, Jagdish Sethi, Narmada Shanker, Misra",Social,"Music: G. D. Kapoor
Lyrics: Sahir Ludhianvi, Shyam Lal Gupta (1)"
Bahadur Jeevan,Tara Harish,"Harishchandra, Latika, Manju, Gope, Dalpat, Hamid, E. Bilimoria",Action,"Music: Nandram Omkar
Lyrics: Munshi Shyam"
Bahadur Naresh,K. L. Kahan,"Anant Prabhu, Krishna Kumar, Rajrani, Ravi",Action,"Music: K. Narayan Rao
Lyrics: Fida"
