Title,Director,Cast,Genre
The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgan, Amrita Rao, Sushant Singh","Historical, Drama"
Leitin að Rejeev,,,
Maa Tujhhe Salaam,,"Sunny Deol, Tabu, Arbaaz Khan",Drama
Mahima Kaali Maa Ki,,,
Maine Dil Tujhko Diya,Sohail Khan,"Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","Action, Romance"
Makdee,Vishal Bhardwaj,"Shabana Azmi, Makarand Deshpande",
Maseeha,Partho Ghosh,"Sunil Shetty, Namrata Shirodkar",Action
Mere Yaar Ki Shaadi Hai,Sanjay Gadhvi,"Uday Chopra, Bipasha Basu, Tulip Joshi, Jimmy Shergill",Romance
"Mitr, My Friend",Revathi,"Shobhana, Matt Phillips",Drama
Mujhse Dosti Karoge!,Kunal Kohli,"Hrithik Roshan, Rani Mukerji, Kareena Kapoor",Romance
Mulaqaat,,"Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji",
Na Tum Jaano Na Hum,Arjun Sablok,"Saif Ali Khan, Hrithik Roshan, Esha Deol",Romance
Namaste: Say Hello to Love,,,
Nishad,,,
Om Jai Jagadish,Anupam Kher,"Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan, Mahima Chaudhry, Urmila Matondkar, Tara Sharma","Family, Drama"
Pitaah,,"Sanjay Dutt, Nandita Das, Jackie Shroff, Om Puri",
Pratha,,,
Pyaar Diwana Hota Hai,,"Govinda, Rani Mukerji",Romance
Pyaar Ki Dhun,,,
Pyaasa,,"Yukta Mookhey, Aftab Shivdasani","Action, Crime"
Raaz,,"Bipasha Basu, Dino Morea",Horror
Rishtey,,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty",Drama
Road,,"Vivek Oberoi, Antara Mali, Manoj Bajpai",Thriller
Saathiya,Shaad Ali,"Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Tabu","Drama, Romance, Social"
Shaheed-E-Azam,Sukumar Nair,"Sonu Sood, Raz Zutshi, Dev Gill","Historical, Drama"
Shakti - The Power,Boney Kapoor,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shahrukh Khan",Drama
Shararat,,"Abhishek Bachchan, Hrishita Bhatt","Comedy, Drama"
Soch,,"Sanjay Kapoor, Arbaaz Khan, Raveena Tandon",
Sur: The Melody of Life,Tanuja Chandra,"Lucky Ali, Gauri Karnik",Musical
Swaraaj,,,
Tere Pyaar Ki Kasam,Mahesh Manjrekar,"Sanjay Dutt, Sunil Shetty, Mahima Chaudhry, Hrishita Bhatt, Kabir Bedi, Om Puri",
"Truth Yathharth, The",,,
Tum Jiyo Hazaron Saal,Ramesh Puri,Pran,
Tumko Na Bhool Paayenge,,"Salman Khan, Dia Mirza, Sushmita Sen",Drama
Tumse Achcha Kaun Hai,,"Rati Agnihotri, Aarti Chabria, Ali Asghar",
Vadh,,"Nana Patekar, Anupama Verma, Puru Raajkumar, Nakul",
Waah! Tera Kya Kehna,,"Govinda, Raveena Tandon, Preeti Jhangiani",
Yeh Dil Aashiqanaa,Kuku Kohli,"Karan Nath, Jividha Sharma",
Yeh Hai Jalwa,David Dhawan,"Rishi Kapoor, Salman Khan, Amisha Patel, Rinke Khanna, Rati Agnihotri, Sanjay Dutt, Anupam Kher",Comedy
Yeh Kaisi Mohabbat,,,
Yeh Kya Ho Raha Hai?,Hansal Mehta,"Prashant Chianani, Aamir Ali, Vaibhav Jhalani, Yash Pandit, Payal Rohatgi","Comedy, Romance"
Yeh Mohabbat Hai,,"Rahul Bhatt, Johnny Lever",
Zindagi Khoobsoorat Hai,Manoj Punj,"Gurdas Maan, Tabu, Divya Dutta, Rajat Kapoor",
