Title,Director,Cast,Genre,"Notes
Cinematographer"
Abala Rani a.k.a. The Queen Who Would Not Speak,Shree Nath Patankar,Zubeida,,"Pioneer Film Co.
DOP: Shree Nath Patankar"
A Crown For Two Days a.k.a. Be Din Nu Badshah,Harshadrai Mehta,"Gulab, Nandram, Ermeline, Himmatlal, Vishnu",Social,"Kohinoor Film Company
DOP: Chimanlal Luhar"
Ajab Kumari,Manilal Joshi,"Miss Mary, Mohanlala, Daji",Costume,"Sharda Film Company
DOP: Naval Bhat"
Amar Asha a.k.a. Immortal Hope,Harshadrai Mehta,"Ermeline, Gulab, Nandram",Historical,"Krishna Film Company
DOP: Chimanlal Luhar"
Asha a.k.a. Hope a.k.a. Andhli Phool Wali,Rama S. Chowdhury,"Nagendra Majumdar, Putli, Ghory, Baba Vyas, K. B. Athavale",Social,"Laxmi Pictures Co.
DOP: Pandurang S. Naik"
Balaji Nimbalkar,Dadasaheb Phalke,"Vasant Shinde, Bhaurao Datar, Dattopant Sakte, Krishna Chauhan",Historical,"Hindustan Cinema Film Co., Nasik
DOP: Telang"
Bhagwa Zenda a.k.a. The Orange Flag,K. P. Bhave,"Elizer, Madanrai Vakil, Asooji, Baburao Sansare",Historical,"Royal Art Studio
DOP: Rustom Irani"
Bhakta Prahlad a.k.a. Devout Prahlad,Dadasaheb Phalke,"Bhaurao Datar, Bachu, Yamuna Gole, Gangaram",Devotional,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Bhasmasur Vadh a.k.a. Prithvi Putra,G. S. Devare,"Raja Sandow, Gohar",Social,Kohinoor Film Company
Bolti Bulbul a.k.a. The Talking Nightingale a.k.a. Shahi Fakir,Dhirubhai Desai,"Zebunissa, Anil Kumar, Mumtaz Begum",Fantasy,"Vishnu Paradise
DOP: K. C. Verma"
Briefless Barrister,Homi Master,"Gohar, Moti, Putli, Siddimiya",Social,Kohinoor Film Company
Bulbule Paristan a.k.a. The Nightingale From The Land Of Fairies,Fatma Begum,"Fatma Begum, Madanrai Vakil, Madame Tosca, Zubeida, Sultana, Putli, K. B. Athavale, Miss Fiske",Fantasy,"Fatma Film Co
DOP: Pandurang Naik, Rustom Irani"
Burkhawali a.k.a. Veiled Enemy,Kanjibhai Rathod,"Ermeline, Nandram, Haider Shah",,"Krishna Film Company
DOP: Chaturbhai Patel"
Chatra Bakavli,S. N. Patankar,,Fantasy,Pioneer Films Company
Cinema Queen a.k.a. Love's Sacrifice a.k.a. Cinema Queen,M. D. Bhavnani,"Sulochana, Putli, Khalil",Social,"Kohinoor Film Company
DOP: V. B. Joshi"
Delhi No Thug a.k.a. Thief Of Delhi,Homi Master,"Gohar, Khalil",Costume,"Kohinoor Film Company
DOP: Narayan Devare, K. G. Gokhale"
Dha Cha Maa a.k.a. Murder Of Narayanrao Peshwa,N. D. Sarpotdar,"Dinshaw Bilimoria, Bandopant Sohoni, Durgabai Koregaonkar, Sundarrao Nadkarni, P. N. Varne, Wamanrao Kulkarni, Jayarampant, Datoba Rajwade",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Dharma Patni a.k.a. The Wife,Jyotish Bannerjee,"Patience Cooper, Durgads Bannerji, Kartik Dey",Social,Madan Theatres Ltd.
Dhanurbhanga a.k.a. The Marriage of Janaki a.k.a. Janaki Swayamwara,Dadasaheb Phalke,,Mythology,"Hindustan Cinema Film Co., Nasik"
Dil Aram,Nanubhai Desai,"A. P. Kapoor, Dwarkee, Miss Mary, Prabhashankar, Janibabu",Historical,"Sharda Film Company
DOP: Naval Bhatt"
Dulari,Manilal Joshi,"Elizer, Baburao Sansare, Putli, Madanrai Vakil, M. Udvadia, Jilloobai, Yusuf",Historical,"Saraswati Film Co.
DOP: A. P. Karandikar"
Dagabaaz Duniya a.k.a. Way Of The World,Harihar Diwana,"Yakbal, Amirbanu, Jones",Social,"Sharda Film Company
DOP: Chimanlal Luhar"
Fearless Phantom a.k.a. Andher Nagri a.k.a. Delhi No Dodh Chhel,,"Gangaram, Dwarki, Bapu",Costume,"Shri Vijay Film
DOP: Naval Bhat"
For Country's Sake,Harihar Diwana,"Tara, Miss Mary",Costume,Sharada Film Company
Gaj Gouri,,B. Yadav,Mythology,Maharashtra Film Company
Gentleman Loafer a.k.a. Bhadraveshi Goonda,,"Gulab, Madanrai Vakil, Jilloobai, Durmad",Social,Royal Art Studio
Golden Lotus a.k.a. Suvarna Kamal,K. P. Bhave,"Master Vithal, Miss Mary, Heera, Shiraz Ali Hakim, Janibabu, Miss Rosy",Mythology,"Sharda Film Company
DOP: Naval Bhatt"
Indrajal a.k.a. Missing Bracelet,Bhagwati Mishra,"Fatma Begum, Zubeida, Elizer, Jilloobai",Mythology,"Royal Art Studio
DOP: Ardeshir Irani"
Jaydev a.k.a. Joydeb,,Patience Cooper,Devotional,Madan Theatres Ltd.
Jungle Ni Jadibuti a.k.a. Love Rewarded,Manilal Joshi,"Tara, Bachu, Balabhai",Social,"Sharda Film Company
DOP: Naval Bhatt"
