Title,Director,Cast,Genre,"Notes
Cinematographer"
Amarsinh Daggar a.k.a. Marwad's Moti,Bhagwati Prasad Mishra,Madanrai Vakil,Historical,Royal Art Studio
Anant Vrat,G. V. Sane,"Bhaurao Datar, Krishna Chauhan",Mythology,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Baap Kamai a.k.a. Fortunes And Fools,Kanjibhai Rathod,"Gulab, Gohar, Gangaram, Putlibai, Ermeline, Nandram",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","Master Vithal, Yakub, Miss Jones, Nanasaheb Phatak, Sayani",Historical,"Sharda Film Company
DOP: Bhogilal K. M. Dave"
Bhadra Bhamini a.k.a. Test Of Chastity,Nanubhai B. Desai,"Gulab, Nandram, P. R. Joshi, Prabhudas",Costume,"Krishna Film Company
DOP: Chaturbhai Patel"
Black Thief a.k.a. Kala Chor,Manilal Joshi,"Raja Sandow, Zubeida, Janibabu, Putlibai",Costume,"Laxmi Pictures
DOP: D. D. Dabke"
Chalu Zamana a.k.a. Chalti Duniya,,,,"Krishna Film Company, Majestic Film Company"
Chandrakant a.k.a. Filial Duty,Harshadrai Sakerlal Mehta,"Ermeline, Nandram, Gulab, Haider Shah, Malika, Gangaram",Costume,"Krishna Film Company
DOP: Chaturbhai Patel"
Chandrarao More,N. D. Sarpotdar,"Dwarki, P. Y. Altekar, Elizer, Baburao Pendharkar, D. N. Potdar",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Charkha a.k.a. The Spinning Wheel a.k.a. Anath Abala,Kanjibhai Rathod,"Ermeline, Madanrai Vakil",Social,"Saurashtra Film Company, Rajkot
DOP: Chimanlal Luhar"
Chhatrapati Sambhaji,N. D. Sarpotdar,"D. Billimoria, P. Y. Altekar, Elizer, Jilloobai, Vedi",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Child Widow a.k.a. Bal Vidhva,Behram Vasania,"Harihar Diwana, Heera",Social,"Kohinoor Film Company
DOP: Vishnu B. Joshi"
Cinema Queen a.k.a. Cinema Ki Rani,Rajendra Raj Gaur,"Mehtab, Master Bachoo, Mumtaz, Shivrani, Madhukar Gupte, Alaknanda, Nurjehan, Sadique, Shuklaji",Social,Vasant Films
Devadasi a.k.a. The Bride Of God,Manilal Joshi,"Begum Fatma, Zubeida, Raja Sandow, Shahzadi, K. B. Athavale, Dabir, Prabhakar",Costume,"Laxmi Pictures
DOP: D. D. Dabke"
Devi Ahilyabai,Bhagwati Mishra,,"Historical, Devotional",
Dream Of Life a.k.a. Sansar Swapna,Homi Master,"Bachubhai, Khalil, Moti, Miss Marie",Social,"Kohinoor Film Company
DOP: Gajanan S. Devare, K. G. Gokhale"
Five Divine Wands a.k.a. Panchdanda,Chandulal Shah,"Raja Sandow, Yakbal, Putli, Isdan, Ghory",Fantasy,"Laxmi Pictures
DOP: D. D. Dabke"
For Mother's Sake a.k.a. Matri Prem,M. D. Bhavnani,"Moti, Raja Sandow",Social,Kohinoor Film Company
Ghar Jamai a.k.a. Hen-pecked Husband,Homi Master,"Gohar, Putlibai, Sidimiya",Social,"Kohinoor Film Company
DOP: D. D. Dabke"
Gaud Bangal a.k.a Magicians Of Bengal a.k.a. Kamroo Deshni Kamini,K. P. Bhave,"Fatma Begum, Elizer, Jilloobai, Madanrai Vakil",,"Royal Art Studio
DOP: Rustom Irani"
Gul-E-Anar a.k.a. 1001 Nights,,,Fantasy,
Handsome Blackguard a.k.a. Fankdo Fituri,Homi Maser,"Homi Master, K.B. Athavale, Moti, Boman Behram, Fram Sethna, Miss Yakbal, Thelma Wallace, Yvonne Wallace",Costume,"Kohinoor Film Company
DOP: D. D. Dabke"
