Title,Director,Cast,Genre,Notes
Aaj Kal,R. S. Choudhary,"Ermeline, Jal Merchant, Shanta Kumari, Sundarabai, Hadi, Baba Vyas",Social,"Gold Mohur Sound Pics. Music: S. P. Rane
Lyrics: Nashtar Lucknavi"
Actress a.k.a. Bambai Ki Mohini,Balwant Bhatt,"Harishchandra Rao, Alaknanda, Kashinath, Bachchu, Panna, Lallubhai",Social,"Prakash Pictures. Music: Lallubhai Nayak
Lyrics: Pandit Anuj"
Adil-E-Jehangir,K. Sardar,"Zubeida, Miss Zohrajan, Padmavati Shaligram, Khatoon, Aziz, Kantilal, Nawab, Anwaribai, Pushpa","Historical, Drama","United Artists. Music: Ishrat Sultana
Lyrics:"
Afghan Abla,J. P. Advani,"Master Chonkar, Sultana, Kamlabai, Ata Mohamed",Costume,"Kumar Movies. Music:
Lyrics:"
Ajamil,A. R. Kabuli,"Zebunissa, Sardar Akhtar, A. R. Kabuli, Ashraf Khan, Sultan Alam, Sher Ali, Jani Babu",Legend,"Saroj Movietone. Music:
Lyrics: A. R. Kabuli"
Akashwani a.k.a. Prophecy,Bhalji Pendharkar,"Master Vinayak, Leela, Meenakshi Shirodkar, Baburao Pendharkar, Nanasaheb Phatak, Master Vasant, Bhadre, Dr. Sathe",Costume,Kolhapur Cinetone. Music: Gundopant Walawalkar
Ambarish,V. M. Gunjal,"Bandopant, Gulab, Sohani, Boradekar, Kamlabai, Bhagwandas",Devotional,"Ambika Movietone. Music: K. Yagnik
Lyrics: Narayan Prasad Betab"
Ameena,Akhtar Nawaz,"Akhtari Bai, Mahajabin, Agha Jani, Zarina, Akhtar Nawaz",Social,"Kali Films. Music:
Lyrics:"
Amirzadi,A. R. Kabul,"Master Chonkar, Sultana, Ashraf Khan, Kamlabai, Majid, Rajkumari, A. R. Kabul",Costume,"Kumar Movies. Music:
Lyrics:"
Amrit Manthan,V. Shantaram,"Chandra Mohan, Nalini Tarkhud, Shanta Apte, Keshavrao Date, Sureshbabu Mane, Budhasaheb, Varde, Kulkarni",Costume,"Prabhat Film Company. Music: Keshavrao Bhole
Lyrics: Veer Mohammedpuri"
Anokha Prem,Faredoon Irani,"Patience Cooper, Yusuf Effendi, Jehanara Kajjan, Rajkumari, Jagdish Sethi, Violet Cooper, Ghulam Hussain, Ghulam Mustafa, Lakshmi, Pearl, Parvati",Social,"Madan Theatres Ltd. Music: Chhailaram Solanki
Lyrics: Dil Lukhnavi"
Anokhi Mohabbat,Ramnik Desai,"Kumar, Sitara Devi, Yakub, Kayam Ali, Hira Kumari, Razak, Tarabai, Pande","Costume, Drama","Sagar Movietone Music: Balram Singh
Lyrics:"
Baag E Misar,JBH Wadia,"Padma Devi, S. Nazir, Boman Shroff, Jamna, Jal Khambatta, Firoze Dastur, Sayani Atish, Master Mohammed, Munchi Thuthi, Minoo Cooper","Costume, Action","Wadia Movietone. Music: Master Mohammed, Joseph David
Lyrics: Joseph David, Munshi Aashak"
Baghdad Ka Chor,D. N. Madhok,"Shiraz, Mumtaz, Ebrahim, Miss Moti, Meher-Ul-Nissa, Hanumant Rao, Mansur, Mansoor Ali, Vimal",Fantasy,"Paramount Pictures. Music: Damodar Sharma
Lyrics: D. N. Madhok"
