Title,Director,Cast,Genre,"Notes
Cinematographer"
A Prince Indeed a.k.a. Veer Bhushan,Keshavlal Joshi,"Laxmi, Bachchu, Suleman Master, Drupad Bhatt",Costume,"Surya Film Company, Bangalore. DOP: Vishnu Sawant"
Ace Of Swords a.k.a. Talwar Ka Phani,Harshad Mehta,"Mumtaz, Ata Mohammed, Jani Babu, Nizam",Costume,Bombay Mehta-Luhar Productions DOP: Chimanlal Luhar
Alik Babu a.k.a. Master Liar,Dhiren Ganguly,"Dhiren Ganguly, Radha Rani, D. R. Das, Kalipada Das, Satya Sindhu",Social,"British Dominion Films Ltd. Calcutta DOP: Krishna Gopal, P. Sanyal"
All For The Crown a.k.a. Khooni Taj,Pandurang Talegiri,"Wamanrao Kulkarni, Yasho Verma, Gangoobai, Jairam Desai",,"United Pictures Syndicate, Bombay. DOP: Pandurang Talegiri"
Amar Kirti,Prafulla Ghosh,"Rampyari, Vishnu, Abdul Pahelwan, Hydershah Abdul Pahelwan",,Krishna Film Co DOP: Gordhanbhai Patel
An Ideal Woman a.k.a. Adarsh Ramani,V. K. Pattani,"Shankar, Miss Mani",,"Mahavir Photoplays, Hyderabad"
Arunodaya a.k.a. The Rising Sun (Dawn),Bhagwati Mishra,"Master Vithal, Nirasha, Yakub, Boman Irani, Wamanrao, Syed Husen, Manekbai",Costume,Sagar Movietone. DOP: Boman Irani
Avarice a.k.a. Aghor Lalsa,Harilal M. Bhatt,"Shankar, Miss Mani",,"Mahavir Photoplays, Hyderabad. DOP: Gatubhai Vaidya"
Avenged a.k.a. Ver Vasul,M. Udwadia,"Shahzadi, Udwadia, Malka",Costume,"Mahesh Film Company, Vivekanand Pictures"
Bandit Of Baghdad a.k.a. Baghdad Nu Baharvatiyo,Narayan Deware,"J. K. Nanda, Elizer, Jamuna, Rajababu, Usha, Ganibabu","Action, Costume",Kohinoor United Artists
Beggar Meets Beggar a.k.a. Rajdoot,Haribhai Desai,"Zebunisa, Bachchu, Zhunzharrao Pawar, Abbasi, Baburao Gade",Costume,"Surya Film Co., Bangalore"
Behram the Bandit a.k.a. Baharvatiyo Behram,Saqi,"Shahzadi, Saqi",Costume,Asiatic Film Company.
Beloved Rogue a.k.a. Albelo Sawar,Nagendra Majumdar,"E. Billimoria, Putli",Action,Ranjit Film company
Benevolent Bravery a.k.a. Shurana Sangram,Mohanlal Shah,"Gulab, Haridas, Vishnu, Durga, Gangaram Sardar",Action,Krishna Film Company. DOP: Chaturbhai Patel
Bharat Ramani a.k.a. The Enchantress of India,Jyotish Bannerji,"Seeta Devi, Patience Cooper, Dadabhai Sarkari, Lalita Devi",Historical,Madan Theatres Ltd.
Bhimsen the Mighty,N. D. Sarpotdar,"Joraswamy Sandow, Lalita Pawar, Jadhavrao Bhaurao Datar, Durgabai Koregaonkar, Miss Umrao, P. N. Varne",Mythology,Aryan Film Co. Dop: Y. D. Sarpotdar
Brand Of Fate a.k.a. Bhola Shikar,Ramakant-Gharekhan,"Sultana, Madanrai Vakil, Salvi",Social,Imperial Film Company. Dop: Rustom Irani
Champion Of The Sword,,,Action,
Chatur Sundari a.k.a. Clever Beauty (Wily Heroine),N. D. Sarpotdar,"Lalita Pawar, Amboo, Das, Baburao Datar, Joraswamy Sandow, Salvi, H. Dhodke, Jadhavrao",Action,Aryan Film Company
Cinema Girl,Bhagwati Prasad Mishra,"Ermeline, Prithviraj Kapoor, Mazhar Khan, Akbar Nawaz, Baby Devi",Social,Imperial Film Company. DOP : Rustom Irani
Daily Mail,Narayan Deware,"Khalil, Kumudini, Jamuna, Bhoparkar, Alavali, Thomas","Action, Adventure",Kohinoor United Artists
Daughter Of Akhtar Nawaz Outlaw,N. G. Deware,"Jamuna, Ebrahim, Fatima, Gani Babu, Pawar",,
Devdasi,Naval Gandhi,"Zubeida, Raja Sandow, Lovji Lavingia, Nilkanth Swami",Social,International Pictures Corpn
Devil Of The Cave a.k.a. Math No Sadhu,Kanjibhai J. Rathod,"Naresh Niranjan, Tara, Ghanshyam",,Kohinoor United Artists. DOP: Chaturbhai Patel
